,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,MHB_inflow_cfs,PAR_storage_af,PAR_outflow_cfs,PAR_inflow_cfs,CMN_storage_af,CMN_outflow_cfs,CMN_inflow_cfs,NHG_inflow_cfs,NHG_storage_af,NHG_outflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,SLF_storage_af,LUS_storage_af,total_inflow_cfs,total_reservoir_outflows_cfs,total_storage,delta_inflow_cfs,delta_gains_cfs,total_delta_pumping_cfs,HRO_pumping_pct,TRP_pumping_pct,total_delta_pumping_pct
0,2591560.0,5383.0,3144.0,1718443.5,3785.5,1998.0,623039.5,837.0,407.0,465234.0,1942.0,1288.0,10.0,468460.0,328.0,44.0,285050.0,328.0,382.0,7.5,127612.0,113.5,1495676.0,1001.0,735.0,1504926.0,1447.0,60.5,443678.0,934.0,38.0,234504.0,1621.0,1180.0,2984.0,4097.0,4588.0,80.43,270196.5,486860.0,9210.02,17496.5,10903505.5,11791.0,-5894.0,7185.0,0.25307437876346367,0.29900213827512473,0.5419373058458062
1,2571422.0,5369.5,3101.0,1718575.5,3658.5,1767.0,622913.0,875.0,425.5,457739.5,1900.0,1242.0,10.0,466575.0,327.5,76.0,281945.0,327.5,493.0,6.5,127394.5,124.0,1494148.0,844.0,758.0,1471983.0,1353.0,200.5,440913.5,838.0,42.5,232129.0,1413.5,1123.0,2972.0,3835.0,4647.0,80.43,272335.0,487696.5,9297.5,16025.0,10888947.5,11678.0,-5626.0,7036.0,0.25449563281383797,0.2826175591193259,0.5359617449009466
2,2568967.0,5163.5,3024.0,1714576.5,3692.5,1682.0,622462.5,873.0,374.5,456130.0,1941.5,1097.0,10.0,465557.0,326.5,44.5,281945.0,326.5,383.0,10.5,127190.5,122.5,1493456.0,710.5,785.0,1470970.5,1220.5,66.5,439920.5,885.5,32.5,231806.0,1374.0,1199.0,1452.0,4101.0,4254.0,80.43,273871.0,485210.0,8687.505000000001,16808.5,10869573.5,11878.0,-5783.0,5060.0,0.17576564580559254,0.3122402720060446,0.48965016341847234
3,2567222.0,5203.0,3168.0,1711876.5,3604.5,2114.5,618747.0,871.0,375.0,453998.5,2053.0,1043.0,10.0,465402.0,328.0,69.0,281945.0,328.0,495.0,10.0,126986.0,112.0,1493696.5,780.0,791.0,1469461.0,1341.5,169.5,438422.5,890.0,39.0,230915.0,1378.0,1204.0,2103.0,4050.0,4144.0,80.43,277468.5,487277.0,9368.01,17947.0,10846986.0,11470.0,-5038.0,5056.0,0.16110053642498703,0.29482419742301813,0.4713939573752658
4,2563559.0,5210.5,3187.0,1711445.5,3676.0,2055.0,617255.0,882.0,388.0,452056.5,1965.0,999.0,10.0,465327.0,330.0,76.0,281820.0,330.0,460.0,8.5,126820.0,104.0,1493782.0,677.5,753.0,1467935.5,1298.5,33.005,436369.0,870.0,31.0,229492.5,1377.0,1068.0,1457.0,4048.0,4138.0,80.43,282034.0,489409.5,9176.005000000001,17698.5,10823819.5,11707.0,-5723.0,5248.0,0.14882167377992206,0.3084251265257517,0.47706697344070426
5,2560618.5,5247.0,3454.0,1706777.0,3748.0,1902.5,616679.5,887.0,390.0,450116.5,1911.5,949.0,10.0,465232.0,329.5,64.0,281945.0,329.5,490.0,7.0,126642.0,100.5,1492759.5,714.5,719.0,1465915.0,1409.0,228.5,434936.5,932.0,40.5,228943.5,1402.0,979.0,1871.0,4045.0,4036.0,80.43,283729.0,488334.5,9488.01,17624.5,10805065.0,12016.0,-5369.0,4950.0,0.19792802617230099,0.3146597655655351,0.4830103196576894
6,2556259.5,4889.5,3318.0,1706417.0,3745.5,2073.5,616122.5,904.0,402.5,448156.5,1907.0,965.0,12.0,465092.0,332.5,0.01,282190.0,332.5,486.0,7.5,126476.5,92.0,1491880.5,805.0,735.0,1463897.0,1207.5,159.0,433692.5,731.0,33.5,228211.5,1469.0,813.0,1452.0,4095.0,4424.0,80.43,285354.5,487778.0,9522.005000000001,17130.0,10784663.0,11878.0,-5389.0,4563.0,0.1765831691528286,0.28619359167924846,0.4758463870641738
7,2552405.5,5065.0,3213.0,1703836.0,3544.0,2071.5,613890.0,915.0,407.5,446087.5,1971.0,1012.0,12.0,464837.0,331.0,43.5,282750.0,331.0,543.0,5.5,126298.0,93.5,1491370.5,858.0,655.0,1462888.5,1192.5,101.0,432358.5,831.5,46.0,227573.5,1330.0,1077.0,991.0,3990.0,4470.0,80.43,286766.5,487436.0,8668.505000000001,17159.5,10765981.0,11323.0,-5270.0,4481.0,0.08422018348623853,0.2955296573317099,0.4519004580908753
8,2547331.5,5266.0,3196.0,1704133.0,3306.5,1776.5,612842.0,942.0,460.0,443719.5,1857.5,978.0,12.0,464622.0,329.0,30.0,282590.0,329.0,568.0,5.5,126133.0,82.0,1489655.0,915.0,710.0,1460873.5,1183.5,159.0,430990.0,833.5,40.0,226874.5,1326.0,1008.0,1000.0,3908.0,4332.0,80.43,288842.5,486521.5,9200.515,16257.5,10747608.5,11151.0,-5288.0,4351.0,0.08269696405289625,0.29947460595446584,0.48997289972899727
9,2543188.0,4801.5,3514.0,1702960.5,3416.0,2002.0,611776.5,931.0,409.0,441506.5,1898.5,934.0,12.0,464452.0,328.5,28.5,282465.0,328.5,617.0,12.5,126056.5,72.5,1488214.0,736.5,674.0,1459355.0,915.0,9.0,429754.5,925.0,41.5,226753.5,1283.0,851.0,659.0,3771.0,4047.0,80.43,290947.0,487151.5,8879.02,16339.5,10727532.5,11139.0,-6000.0,4132.0,0.062292909211398274,0.3234984984984985,0.4485940723048529
10,2538635.0,4979.5,3648.0,1698266.0,3405.0,2005.0,610362.5,934.0,422.0,439192.0,2006.0,852.0,12.0,464432.0,328.5,31.5,282685.0,328.5,594.0,6.5,125904.0,69.5,1487332.0,839.0,702.0,1457344.0,1379.0,173.0,428466.0,824.0,36.0,226784.5,1345.5,969.0,505.0,3772.0,4262.0,80.43,293449.5,481434.0,9319.515,17368.0,10708281.0,9240.0,-5592.0,4219.0,0.0882250174703005,0.3175885195067426,0.4495985727029438
11,2534285.5,4974.0,3436.0,1694314.0,3441.5,2001.0,608976.5,951.0,439.0,437290.5,1824.5,926.0,12.0,464357.0,332.5,49.5,282310.0,332.5,376.0,4.5,125751.5,50.5,1486638.0,729.0,772.0,1454824.5,1098.5,125.5,426579.5,927.0,43.5,226012.0,1272.5,826.0,596.0,3764.0,4330.0,80.43,297887.0,473436.5,9276.51,16778.5,10687621.0,10571.0,-5203.0,4220.0,0.09357826974407285,0.30710934680620716,0.47357198967568176
12,2531049.5,4781.0,3313.0,1690309.0,3622.0,2275.0,607668.5,951.0,503.5,435457.5,1857.0,925.0,12.0,464062.0,333.0,33.0,282465.0,333.0,390.0,8.5,125637.5,40.0,1485992.5,730.0,726.0,1453295.5,1072.0,109.0,425604.0,881.5,69.0,224669.5,1127.0,1022.0,486.0,3746.0,4277.0,80.43,301328.0,472607.5,8923.515,17215.5,10671285.0,10241.0,-6229.0,4232.0,0.049835931091058244,0.3362101886504239,0.4339622641509434
13,2528013.0,4743.0,3253.0,1686503.5,3610.0,1906.5,606694.5,936.0,442.5,433714.5,1823.5,835.0,14.0,463682.0,332.5,45.5,282835.0,332.5,537.0,5.0,125536.0,33.0,1485618.5,630.0,712.0,1453761.0,1378.0,106.5,423894.5,974.0,70.0,223493.5,1214.0,919.0,753.0,3457.0,3956.0,80.43,304036.5,472010.0,8279.015,16990.0,10654776.5,10571.0,-6632.0,4304.0,0.09742528140768535,0.30579496881788243,0.46526878936922944
