,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,3652.034461287991,3669.638251010412,3940.5314393145577,4028.4602788359075,3274.84268671657,3331.4731024889734,3321.330315729194,3283.518145214357,3409.8491883074003,3420.3891016780813,3406.3790997182027,4285.394597080916,4232.308406095934,4273.1889052006445,4261.5781019144115,3812.9949813475114,3811.633901680382,3203.2366498123606,3202.6507780778106,3214.5500950825653,3206.0128507994214,3307.406574926195,3269.396866560451,3289.9010324763353,3308.000059222716,2978.251337794542,2962.741599638842,2947.053916359475,2974.3946706935985,5616.320301285918,5630.653789526243,5593.188349589335,2681.445299947256,2693.2819987702983,2709.3757084952626,2679.6551161486177,4000.149192602592,3993.0851873252313,4019.453279181653,4024.170776694371,3179.5265520010494,3173.4531953170617,3174.862675645267,3166.8204878902147,2743.2919907521973,2725.8556317732955,2728.4811603639155,2713.098816588166,4251.569020939532,3623.6762576993824,3910.758766968002,3976.02667561842,3923.8967537227363,3954.9345097035266,3196.442057427109,3133.8954790200405,3123.89169391292,3135.624298190683,4180.621829654047,4204.216070936628,4540.607738469318,4568.6433602402885,4581.306765838798,4532.738687904058,2848.3386001620756,2795.242190334134,3754.984510040242,3702.9999845079496,3771.7265668715527,3740.4295077507036,3765.4480359730355,3776.869503061239,3030.677570433529,3054.8445290705176,3046.888578670692,3119.9696873079542,3861.786959447164,3867.5376430738434,3855.2149859045126,3824.9567618232354,3593.1439417177407,3624.9452547220376,3595.0686068384666,3599.0955569143293,3609.7588679707533,3615.4311529198776,3586.9667860256636,4592.304541688047,4559.203963892549,4611.91834330791,3960.163526554225,3976.5106584275227,4036.263521797973,3054.6305085750105,3045.027450078785,3031.9852074561204,3042.1919532240563
2001-10-01,3550.7113407974616,3535.649686607949,4315.353487608977,4396.915523835263,3040.258346615742,3100.1449038702654,3091.5007445459787,3074.7165746568876,3248.260909571251,3222.76725672162,3240.4706087579234,4390.111081532672,4360.782434970491,4387.086171124544,4395.112447474664,4544.76506011521,4531.268781129675,3842.149187579407,3841.6173039439395,3848.7499512046556,3854.2257911954334,3446.293297336938,3398.091213451168,3578.2073453792577,3615.6992844896745,3187.5341281859114,3187.6334009130173,3170.03395300877,3204.952951297074,5804.569573035022,5855.410897246927,5783.465012409405,3137.210801328507,3167.0914260715767,3185.5445817429813,3163.348836325813,3566.3958108536935,3561.3588059034983,3594.7756620455716,3594.0301526253393,3082.0636391073253,3097.6163412298947,3077.883533329241,3079.278439112016,2905.9566655195918,2884.053307539948,2863.359809392978,2889.1633438949793,4233.246841796831,3521.529244978836,3610.5383820190264,3663.6163852354284,3642.2738140316997,3658.187345244571,3242.773906605284,3191.119051816238,3172.876175813901,3188.442280250498,4378.128686842107,4443.773566070404,3959.2048138285663,3963.4078683669436,4003.7767747452435,3953.4415054085207,3050.725280151835,2997.1153476801305,3753.958198637012,3710.531543503531,3781.0380352856237,3749.7152326937444,3867.1943538182227,3890.7353091504815,2536.9676704384897,2577.096340784137,2553.5345173527403,2622.5476378976796,3542.2458505637833,3536.2681884250896,3516.8785646560887,3489.879857924695,3396.583107007427,3441.344195857669,3400.30021510034,3401.28476452017,3693.4351792348007,3727.217983806009,3699.7934476538458,4451.895154155901,4400.234202176782,4427.093831883617,3670.1012248939296,3680.6618357852367,3738.9418727118864,3053.4699300645684,3045.884012060814,3046.185253713199,3041.018313556611
2002-10-01,3757.1190144994575,3739.1674687445643,4749.230368200643,4833.600309215589,3074.239827550253,3139.9613560346193,3121.0492727606816,3134.4808251347577,3302.185134934988,3276.154346218493,3291.929891315894,3975.3716442145646,3963.1725096896535,3993.3541975727126,3978.1666663586184,4459.401765052351,4474.835460894129,3813.3722851485286,3805.8094230125043,3829.2113866094596,3825.4064365332215,3349.698139152497,3266.619814664301,3599.996207491325,3639.020405772716,2893.1378747973768,2903.789215605887,2882.5106648979176,2932.9895256393584,5411.755958489909,5456.999072463306,5373.553379380688,3312.613737892633,3326.9257689429114,3358.5112545095562,3342.4831956935723,4356.253672664068,4362.885854471083,4375.040513624167,4380.586903697472,3023.176917884177,3023.8282163954764,3014.244554262855,3026.691099035284,3273.3616288678245,3257.8637280674766,3252.3495733660184,3286.2993663666985,3917.62333819611,4111.599374894248,3557.4394888853044,3596.4673962575985,3583.2331595856704,3591.64267031531,3040.538200499568,2990.854507360095,2959.2919487355603,2994.1737053710344,4166.405762901128,4218.248884797295,3938.197032706919,3915.276995059566,3972.010946038407,3915.4918188608567,3248.416465273468,3202.1699271695293,3304.2361888158316,3255.92667220297,3307.7359937686156,3278.508278115356,3868.248691667687,3867.772271833779,2709.807488329246,2759.073460477687,2751.4471272673895,2796.2087298366387,3544.422700146895,3535.552068095717,3516.755399036462,3482.2195359541242,3218.256799869712,3269.1153068915037,3237.3328031433725,3243.528833546162,3878.1133521469433,3898.985106822539,3865.8780113411012,4208.727309276139,4185.634525182797,4206.529357544303,3296.7418893243193,3286.3624546310552,3316.093616895037,3295.640805028653,3278.4070913386668,3290.419954128354,3286.086482400115
2003-10-01,3538.6250479252526,3516.4958638302874,4746.227938453632,4803.945641496933,3013.909784015485,3071.1577971422203,3057.8420596439823,3077.500487379473,2958.1961345225295,2918.145045664356,2923.484912762802,4228.590393540211,4207.14235324575,4241.177009056205,4207.414217708102,4337.849149719856,4333.156727248418,3973.619531159665,3947.7510756660367,4008.1002815148213,3984.217615769916,3317.9028955696763,3237.250719176569,3655.3219991336937,3705.8210853296455,3179.0884091918697,3168.983728878307,3171.063088874806,3214.0394286371443,5195.409148936881,5266.214248321778,5158.354888503413,3682.486952476378,3732.8657887551753,3759.8728399493657,3746.9236340207594,4203.885997548755,4195.834007479671,4215.11769802571,4229.477017009791,3100.9753415548166,3100.3533825476,3096.916047016198,3112.3887378992326,3123.583051929969,3127.583824154636,3099.1776542851167,3166.157169544224,3632.634477849585,4171.436480248028,2999.9838475100105,3033.4279069578233,3021.6712451594394,3014.3445906263228,3198.8711946131007,3150.6898737025026,3148.2161242851807,3173.9854101921987,4638.244901280104,4680.565791126192,3790.466720889581,3793.223630637005,3840.7297680776655,3767.38399497804,3091.6618123143026,3055.8274579944828,3400.871192950619,3324.2231725838265,3393.6670455247345,3366.529186396881,3991.765635591916,3986.3117367581253,2937.6526006728277,2977.7038759772818,2972.1944716890393,3001.743464035973,3738.757217505586,3727.8176585157435,3696.354650304265,3655.623014670377,3326.138265473163,3377.3990759653525,3354.3928227809547,3349.424100805851,3441.448851725261,3455.8640986431346,3397.3856293201247,4507.698484309862,4514.864144463085,4502.907665805533,3309.609108476205,3303.7509445191276,3328.0453352220175,3112.4065891388727,3107.6886671633465,3133.6443180287274,3133.2957507565875
2004-10-01,3834.1625568490554,3801.6589423583373,4946.492814149445,4999.353163151338,3084.185850012843,3143.30994710336,3111.5512172394865,3137.1014962047243,3134.406214886949,3093.1733898324183,3102.017092296864,4421.991957512043,4415.964307935417,4447.477585237721,4421.532730405379,4466.108559090643,4466.382018263736,3803.95802136273,3780.4396597494415,3833.195120817627,3832.7230130498265,3296.0484559370575,3225.5580679565896,3365.0681417712417,3400.160330803056,3562.495779124724,3571.9104039022577,3581.884181075545,3624.1786114175443,4800.798376708844,4921.947268405655,4815.590534700463,3564.10776788234,3603.88752583188,3624.3993915824626,3623.5462550549732,4053.967764412788,4034.558377338035,4058.0006807696327,4085.350124690519,2999.692933791492,2980.5073953114043,3010.276929806727,3003.0950825460936,3181.828760922792,3188.623033969201,3173.819350027189,3214.644540041084,3353.5822971624843,3810.4461496162667,3026.1873013501813,3068.605353510154,3047.775198173332,3033.092698363346,3539.6560522210375,3511.894800036382,3502.381503523477,3542.0975960185788,4790.273511933179,4859.644488345284,3591.374074613283,3580.273576780736,3624.811072904083,3576.063328192786,3258.1816427776844,3249.7302153539003,3303.012589479049,3249.614428246658,3307.4644446781635,3290.9481544580435,3945.597357322556,3940.8390796446183,3190.133909338558,3226.8893082849263,3256.1117201365423,3254.818213361861,3429.4720365388193,3409.549130787245,3385.928834628674,3341.8922780086177,3221.6890418474027,3267.642532017951,3230.162214064539,3230.7290960470555,3970.8349420734444,3971.1694366183356,3916.2258261323486,4262.6270308382655,4260.266503900091,4259.919888363485,3500.977338897743,3513.6442889590558,3525.374257203766,3239.571854379272,3232.785509266733,3274.0922682054365,3267.074632514775
2005-10-01,4298.7542030088325,4247.129011029652,4743.317016144486,4822.575334027544,3012.986817405469,2974.6159130072756,2958.7980406372185,3012.7503579017343,3026.7622897789656,3042.167409753023,2831.2450702735055,4295.9172919392295,4179.521017093917,4497.628336227646,4372.007096108615,4553.042898117799,4427.074731057202,3963.086911012112,3875.972484712532,3836.840488745372,3811.32948250734,3455.4645065776917,3467.816193829619,3164.660829050876,3324.350793079479,4104.754971599989,3860.36335085452,4125.163938838347,4046.7224976481284,5057.831198094183,5077.176479383919,5261.491161387582,3928.349233715238,3946.2435801313845,3889.3042070041306,3940.4010617941167,4099.203335245702,4052.515086068126,4213.458538359081,4379.51907031084,3133.589336210639,3167.9743781362054,3202.1026498142705,3015.652425996021,3237.1357631437045,3096.663620570342,3093.7871709884093,3084.946761085941,3098.8242433766213,3852.9649918587143,3253.223306257109,3331.1395223242453,2982.829490514105,3056.5095003073834,3355.5050363328005,3585.455012143912,3320.0941431692922,3411.6389416928164,3771.1257219138865,3632.3116758666574,3623.2220071216343,3231.331970095627,3805.8470375578954,3359.572641615207,3985.779502048277,4068.130876455052,2725.6360793769713,2354.729478348685,2318.751346177867,2523.9905273198483,4166.473248520849,4006.7187502774786,3766.643057458626,3743.1478191510846,3449.887150554026,3436.0555816516994,4002.006239211035,3916.9918743955204,3623.713614393534,3597.997088817006,3074.2054817651865,3139.048616201446,3244.8547621389707,3311.9039864888696,4211.854858361781,4117.216566950905,4066.9904797627582,4710.255960993549,4362.913894801613,4505.844264147696,3414.4653046632634,3627.483347940905,3685.7776063551337,3247.190596845781,3167.6460581367583,3205.495605180458,3364.719721275961
2006-10-01,4234.360408075948,4379.4560475010285,4624.42556047693,4643.131138627248,2813.7330736087806,3156.094104437204,2975.3866720142423,2989.4578462054224,2994.6425761140467,2773.7805573124247,2495.5430060454396,4543.1598726798975,3918.991756706203,4683.178585832536,4331.346901135764,4216.660416039639,4090.923174598488,4318.790035702364,4123.091366279856,3743.385276340767,3871.2688516626013,3158.387185425078,3316.1508955726263,2914.3881550921706,3277.1697267126506,4066.324894309334,3588.4251747835388,3602.5516104622284,3606.5889321083223,4609.1147426514735,4759.957656116463,5110.929095525426,4723.075069071135,4334.933966914847,4129.296980814859,4570.8331896580885,3702.1450311209596,4146.876062438148,4259.501009025348,4273.141869167665,3492.8350473412065,3234.75371554441,3492.919689985692,3180.3303179501086,3707.6474178885533,3719.383144149782,3558.7871444202256,3804.307078552224,3308.376823519602,4212.520721501156,3461.4170877246925,3649.3528401354815,3058.0388616271216,3046.546037183666,3365.308865737778,3757.1488617721343,3258.43140145495,3878.1177078494147,3845.1702441032458,4067.1386331509384,3372.548543080959,2905.4799580823783,3455.568478147764,2822.6222768995963,4596.894133085277,4405.295016713714,2536.2350099438563,2223.1130560909883,2318.0139689890266,2485.9884235821905,3895.6943121173367,3917.129096874629,4058.129570686771,3709.152691935605,3463.9280430923645,3730.2527877678413,3652.024662940899,3670.501709521354,3092.6650618993904,3400.2120240261092,2933.742044646355,2676.4665872283667,3044.4205833029473,2991.9355625648864,3760.59266738617,3906.671033421166,3633.7134543766947,4370.944211482306,4662.772617602436,4296.087771277785,3515.593632426847,4024.9243390071515,3926.9209818168165,3310.9591322755846,3217.243472268113,2930.3522489495845,3461.3736457412947
2007-10-01,3738.173606928056,4247.964875491056,4844.398724404016,4381.660249150209,2778.6496614364564,3767.09000489589,3098.424851641757,2877.493199121244,2850.939363132902,2728.469961686248,2341.4757620073683,4489.838487645724,3559.231358634354,4418.093990576459,4357.906731173682,3896.5406453390515,3878.506708179339,4890.663905152552,4023.102009092864,3727.83106082977,3926.181650908971,3384.868230994097,3556.675919960971,3289.088309171919,2982.056871011274,3730.7875276016516,3229.91768976743,3486.1080337988155,3881.9741805701933,4042.32331947372,4223.686140325329,4486.312197403728,5018.731074523663,4672.312518412817,4793.448216060065,4781.233261369892,3650.4697207947584,4321.618183796775,4650.784183242459,4450.892370686515,3540.2784674266004,3302.9166450164003,3515.885194740407,2812.17274435521,3833.469417015511,3512.5487385476777,3742.1335553511394,3555.3868204590094,3267.2019852418334,4001.6767271454737,3635.315014043419,3578.629945709124,3321.503569943778,3712.7340532518883,3658.874132020274,3646.005819975828,3501.199715756872,3749.691220792958,4202.726041848229,4128.014569577349,2918.0607322760684,2701.691146524732,3150.945075024387,2566.4514938599136,5237.655803411192,4608.432686454275,2361.4382915605283,2040.8575601995597,2409.239143050279,2662.955281465996,3479.7089118261206,3359.714297152158,3781.4636405741644,3426.2386791888916,3612.868561849814,3782.3224299942053,3230.145396213328,3522.2850783659924,2547.148855214734,3544.5349626260445,2865.388826910222,2756.8188489112354,3269.5454444114403,3116.7174254952492,3889.255274772808,4028.5990801579883,4450.578488372995,4017.9683634816756,4466.070750165088,4738.340594334684,3521.15211175633,3961.2765136597895,4128.8736981709435,3589.1340058567243,3160.574327239576,3137.3489639729028,3401.790807494525
2008-10-01,3668.079381591549,4215.962868933377,5124.9860085596065,4311.034160012946,2485.1728182943075,3796.8096392260077,2962.2301973256535,2619.298880878357,3138.5388958717253,3717.1234350626783,3120.9246592071727,4984.262645490799,3632.1034768587438,4335.805547739826,4497.145509782178,4152.994917965035,4084.074030808369,4980.90148516588,3982.076984368562,4034.2335740327967,3795.915563855612,3714.7682496120988,3749.5900776526323,3417.8489595335986,3277.4522880344894,3660.6008288768708,3255.4016791460026,3655.213130373547,3720.0986139006422,4139.873681623494,3882.6872562714716,4328.462019818307,4279.004852959445,4207.73214828608,4371.618256439848,4477.774877748683,3394.7403056882163,4225.102943628728,4761.091152312901,4324.045391065415,3480.9286890141493,3208.325306332717,3470.3207207675505,2666.7066877406714,3729.151949422587,3569.1564078738384,3567.403140438774,3471.9482579548917,3302.5765570830886,4406.841723487969,3933.449644285162,3983.623179407281,3101.1070519678183,3976.2139787586007,3322.4544023388708,3431.361665626546,3239.448135371216,3443.443993540083,3990.6293208830857,4219.207883142788,3265.430753509279,2817.1984316194744,3250.0202127087837,2604.0983460279213,5642.85074818339,5058.098798093732,2337.650064823728,1539.8232152581772,2339.808886638274,2824.8868296230553,3395.8915202317316,3360.0145728541324,4158.506381096249,3361.91005714846,3684.499538919269,3841.212709564455,3602.3849056691206,3517.716831100958,2412.4502994085083,3495.656011303398,3070.212944912406,2860.1978232826,3396.5288670075183,3211.9621255001466,3400.687868653407,3950.1515635958785,3899.0668496323187,4013.919601174443,4324.107676023988,4773.627397581045,3647.620389229308,3723.2163368705997,3907.524645981712,3488.065713795518,2976.264806227639,3097.443634453326,3208.4826689770803
2009-10-01,3115.107636407052,4222.520682476052,4772.741478243695,4158.541157294538,2838.3672091044873,3753.559259133552,2878.0849518475197,2681.4167776332547,3068.574796154834,3472.9112926640146,3200.014316594647,5005.359795868495,3526.6767709205806,4304.968445642994,4510.6038330653,4109.831836384828,4175.898232967787,4688.85362780645,3734.4339170169987,3826.426192564563,3574.8775992691617,3474.218056959334,3764.5310911811907,3449.5167174967987,3137.1790935599656,3465.005867222782,3082.4382810901657,4111.768644315451,3567.8645910165096,4164.723426375035,3948.3490088881704,4393.10050764334,5036.590019948134,4629.170790882163,4660.75465396947,5148.476605544842,3786.8997258542654,4655.0019154667625,5035.413071850942,4372.830462718798,3270.1608143277595,3185.7615357922023,3741.9416346903054,2592.998266707771,3863.350275808167,3529.7450538906205,3824.76630099711,3687.130674782608,3428.0160041445765,4298.450731934962,4420.9263575138375,3897.1000575695143,3124.267119366833,3929.28269288722,3442.3191928808205,3275.0997366334923,3098.1941957743766,3220.231464329196,3599.117603195284,4015.7494167085524,3387.225413800044,2618.1267347646285,3456.0412662461426,2938.089311415894,6111.440405576103,5120.3089520385565,2235.3767109463697,1573.857690572764,2426.229585996874,2659.9586851074064,2952.5684161849,3004.252788990425,3894.476474764016,3676.963231493944,3606.6402464884018,4325.106940815694,3541.2183847803894,3724.882420834736,2308.3449937986975,3618.1952666342318,2962.6423864158687,3129.9964786960277,3299.413585187589,3262.853185249157,3323.435782171929,3623.81235158345,3861.463709199774,3685.3141584220293,3967.441603897341,4288.649516744856,3826.2321119037324,3489.8267861892473,3633.344423633514,3620.335459688479,3059.200687740868,3557.742120950911,3406.5529152551
