,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,4708.442273062718,4654.054873484884,4883.8939911143625,4975.180069638329,2932.307931590916,2982.6289972913014,2996.7980220608297,2968.8871685541144,3151.5760409737386,3126.2771332477423,3149.9250115550317,3889.4821898137498,3853.388490700975,3889.4575392352754,3878.9863035504313,3877.499493635578,3855.739245077185,3123.5194578804894,3064.4978407897966,3119.5878413581822,3090.1193957879714,3455.0372490577497,3414.2169582173997,2889.3401802583166,2899.724389166449,3423.6799915898964,3409.6765231837257,3408.641028309434,3458.4206897132103,5649.477511147435,5700.744311722259,5627.177587879198,2322.364756419713,2354.6008661174988,2375.5905599664497,2359.328140159121,4162.824393650957,4168.852864384608,4251.243182262393,4246.870287063143,2762.4005070836524,2737.0765996882865,2755.140713376874,2751.6092423084388,2306.649818264358,2293.602053658236,2270.8090156800877,2271.1143551837085,2516.4676797292095,2938.7295342247335,2775.4258187972578,2792.8520481893947,2796.6401328111174,2796.4193129767837,2999.5233787504535,2935.0131203466935,2946.2978013194265,2989.5344914945513,3017.693659711591,3084.0646004262703,4308.420663157847,4281.215576261502,4299.292963338502,4279.351946512578,3343.6648446172026,3336.0520208283688,2987.9385192658306,2857.837248741121,2992.7857020675883,2960.5836684028077,5277.288605989077,5290.631122330249,2941.6233590132492,2952.4752823007584,2949.1267983394564,3019.9196021871826,3940.429849893243,3902.4121997093303,3879.954193796738,3813.5601297763055,3151.113947751374,3216.680150616168,3172.7312396157963,3186.6099754601964,4117.601618189926,4119.8672340538815,4037.1630675815854,5161.317948333131,5207.731238833485,5180.5864375568835,4096.295905829113,4124.753423797716,4136.381269067391,3664.8829306878383,3635.4614775142472,3685.907244040868,3630.169191903324
2001-10-01,4521.589364947627,4416.177755207785,5263.655407995508,5377.320835903272,2407.996549994519,2472.410328398443,2458.0625928854165,2474.544840791545,2403.7336938033536,2399.435991992405,2421.051597906422,4503.837739192399,4454.647597126472,4504.251154067733,4493.462079044581,4694.1787517644225,4680.118524350087,4854.560171659631,4835.571189212266,4902.305160670135,4851.964145217719,2928.812547795152,2896.87525991505,3222.0888540781325,3254.348840800666,3195.6051080070315,3193.7568263572516,3217.0127350784196,3257.0616421184145,5389.957827617525,5481.145748125121,5419.704907236847,3538.2615014795815,3578.161140420659,3582.141784380899,3571.2913248950354,3489.504402718714,3518.297944488407,3578.281687858471,3574.9804184425393,2847.314240494377,2901.184025527633,2832.7835535767017,2878.8267363090804,3344.3291447813685,3306.503847654988,3261.4643171523207,3329.983912408836,3305.176861872099,3663.025413996755,3223.2693010182957,3228.383272579928,3259.4150146764323,3235.331637526911,2973.616870364328,2951.166100154203,2922.654607970812,2973.5728333396128,3978.981724208485,4114.8787249713705,3562.5489738353835,3494.352422545259,3540.6123391615756,3567.5410769674663,3648.842619971052,3636.0529366868036,2761.199896176584,2621.5204636845338,2765.3592350125573,2744.3968138908335,4894.089056221162,4918.528184775053,3003.34660254567,3059.788759144837,3018.5451440076804,3079.6558718386527,3032.394187290143,3024.7378937493168,3054.1531188237514,2998.9163651977537,2853.43443883118,2888.694834143701,2846.1207899178758,2866.0186027769305,3500.4646473283597,3568.2127675448523,3493.4975465136467,4319.720819171868,4312.6323378614925,4303.519974240476,4094.3798569067194,4147.045559958524,4135.594715680286,3119.5840410276096,3091.369934628845,3149.5791299027233,3077.654755808966
2002-10-01,4376.605773786819,4312.34050579587,5466.42108567058,5560.9784831972975,2637.2245482861854,2682.1511954832563,2664.9889462559604,2725.228049625594,1909.8372900069771,1864.09602330714,1915.4344073529228,4645.251923417067,4616.281178341886,4652.045379273392,4632.026296993058,4321.714921647849,4387.025344017208,5142.709756628932,5098.599307777591,5200.107494052932,5148.179792983353,3151.7764786593502,3092.2968939661255,3090.0083888460113,3107.1965184038436,2700.5859009067594,2710.487590807439,2732.634766968493,2736.830704812666,4751.617225717283,4845.496101592251,4730.24689186897,4144.217213517003,4145.926838638096,4174.0566078469255,4175.2440128036,5362.856980059858,5381.204008128133,5429.560580608685,5430.27983878929,3021.8704292913335,3044.329161154344,3015.3928372361297,3093.710315451348,3773.467062736386,3782.769010489322,3748.061194349419,3845.296690384024,2885.2154767941893,4703.059017534596,3127.7476191956825,3126.3471735782027,3142.315591402553,3109.3547531109566,2995.9928002440033,2971.4575328473056,2935.5602767094088,2990.463668352491,3924.445358019333,4035.8696064267365,2887.704165715623,2820.0069334329232,2861.8099151807123,2827.0979258176767,4090.805503193729,4069.8696962868357,2227.4591367448247,2122.1236010544435,2193.0603533316803,2173.0844591504438,3933.93462478021,3958.7126611021267,2784.7131523353373,2810.539465019118,2817.6834597178317,2852.807562799178,2502.336281405901,2446.923720838059,2489.8363991129027,2465.4832381621727,3500.309809642669,3491.4533891617134,3459.0773574806976,3475.65918753542,4042.2819184820546,4080.9620797392336,4046.3028626075156,3962.610316632748,3964.9272210916574,3956.6496330064224,4047.120389878867,4097.802970950541,4103.427067469994,3662.6208454023913,3634.041550243911,3671.572948527819,3599.203443856297
2003-10-01,4493.253251276336,4459.65521496928,5707.6275950164545,5750.708245522422,3077.0566480413754,3114.8536172339254,3073.4848530060694,3173.107170854837,2281.4996351662217,2227.3991486457503,2244.6179545671725,5522.549782435564,5488.48312728632,5521.118243925577,5486.212294893452,4202.651409782238,4243.519069878707,5118.667715016527,5094.450679685404,5231.340915487939,5147.103541745497,3873.4162764523726,3779.7642580976876,3328.1448419987087,3363.088159625815,2942.9236076061006,2989.265183726409,3017.9562435128064,3019.665245823976,4722.861837997113,4815.194725114353,4697.0537573794145,3938.494561301458,3984.9768527934325,4000.836885824578,4025.5862728903335,4618.694896023771,4623.267070561524,4675.721403035176,4656.390196456158,3276.635113820987,3313.4882126019074,3332.7119150488725,3367.709448874232,3161.696392692228,3166.0654002881815,3175.2603120082313,3243.230073216085,3235.1578180230686,5185.138206144262,3024.757510278209,3026.6169072998687,3035.9794818295577,3001.9988022173643,3169.9143616040124,3157.547356005005,3172.1801599473038,3204.4402022070276,4798.382919522826,4931.952027397071,2888.630145218196,2828.523454410317,2893.135663227133,2845.828438182829,3926.9590823126205,3918.866710756,1851.8584986996516,1767.0967309085056,1813.987986366732,1815.2738111579538,3978.1648435487014,3989.4092798934093,3282.702333645483,3268.877671189427,3297.600339570808,3283.471499925181,2959.9399804700065,2962.0513616234775,2953.1863923822093,2919.0664492991664,3799.314245502782,3825.2055446327336,3786.911093126973,3777.483710663512,2721.1115378969876,2763.312261131709,2704.4766737927707,4961.696270652767,4948.0798131550355,4942.445553329814,3528.7809183550557,3553.1083616198725,3589.1823450301977,3847.132027901592,3828.797880494453,3870.8877197624206,3823.377256371349
2004-10-01,4042.631830547578,4010.6689915931406,5935.083175459868,5940.70996949998,2896.2936189242932,2945.855284956535,2896.403086692705,2982.172810845792,2469.099911213939,2423.133385671506,2442.2077129121158,5338.739411836011,5308.422290564751,5362.77888683685,5369.652617734367,4608.783709263601,4648.116075478358,4354.427060435739,4327.794514364883,4427.494742957319,4398.647992592673,3443.974704944147,3331.35459009248,3299.4144817165115,3328.018268775781,3724.8954938925676,3759.5957411068575,3799.357445502712,3821.45513802748,4845.125521758163,5024.531749555218,4884.817804666525,4596.095294078356,4639.2391578073575,4640.275588879995,4695.10388630832,4555.110081585393,4565.796377104586,4585.998252111891,4571.5881919708645,3402.0065595602755,3380.9176128189342,3431.4467724032643,3445.4293310574008,3560.7210624334953,3559.2124224360387,3600.9651826963036,3624.2488877810606,3833.2937509001054,4747.500261757277,3163.46994508594,3186.861634302744,3171.5651728409,3149.6623404810957,3722.8571044745095,3755.135025742469,3730.102561652391,3770.412783072112,4610.796912565995,4759.349926530707,2624.494349299364,2557.587780155829,2650.67057801561,2650.464804792813,3789.3703711393614,3817.680612414001,1483.938170063031,1481.5205330423091,1469.5730276078837,1465.5513019948207,3409.944736075832,3396.2294858510018,3414.958486811194,3424.2548292748793,3486.637989500404,3424.4867049769673,2911.2205716264302,2885.573878115902,2854.1904150282567,2870.5000890503748,3437.3895056163947,3448.095576342166,3429.8536325712316,3433.711773391184,3742.802774523569,3785.522599906173,3764.975382750692,3992.2805327811316,3982.4273228803686,4005.2841532551015,3745.6621186509833,3750.865152030651,3784.6570528001917,4000.8176183865876,3947.4576726913233,4023.66789933985,4007.7094028377937
2005-10-01,3889.066132954944,3840.20314857442,4602.7400411746075,4669.970598416764,3093.6657032200173,2966.6028287232502,2920.7980592136064,3056.613547249359,2901.948538584194,2958.0576862582975,2512.5651289919806,4702.352394064711,4505.653543486862,5105.799133220016,4865.027888666798,5228.586302600018,4998.4102170372225,4802.654364143736,4687.447128635261,4554.093136132557,4532.539569226704,3455.8917640976333,3521.4154294418386,3439.9814778434334,3748.9771969925073,4785.829951610085,4311.0501785253155,4841.6868493672655,4635.02430558305,4466.184885040928,4453.608647045577,4895.804734895959,5534.3337110107595,5537.886294145276,5403.017854041818,5521.4739834291095,4035.5822768404437,3936.1773077516427,4175.673894455767,4512.167853558531,3504.778165337621,3598.8721565841297,3649.064586251672,3279.695609683604,4167.621708023045,3899.725187482451,3916.7653262967274,3898.779166988174,3681.180807024032,4767.200449492698,3731.0207937169607,3869.4269964590894,3169.018848217089,3316.5996876379904,3711.4866939151457,4235.896903941131,3693.890485019157,3833.743391891083,4524.55778411618,4180.558751307044,2938.0233510854296,2181.448363929744,3312.401111777291,2439.793336717834,4627.894159479355,4800.209732081737,2463.3336394881094,1851.6217079562487,1644.7169902881478,2087.3973862368875,3055.657891052617,2722.806378224715,4591.6627559040035,4533.820356001414,3950.6475027685988,3852.1915611162167,4063.5826285288285,3931.571549081714,3367.473034990335,3382.434047857699,2997.2970157789982,3061.4170817867216,3316.9782846621406,3437.1979975175454,4306.10809853364,4114.565899847931,4096.817891943935,4259.193973653964,3518.09655076974,3831.1020907385064,2732.6347034974156,3130.213272084093,3235.173943642878,2829.4982630037184,2699.83063875927,2725.0839663200527,3099.270250648596
2006-10-01,3947.13145120427,4342.734339794273,3985.1957129583534,3908.9414413512304,3219.46959722304,3839.777880475965,3492.710751143068,3504.3708516193024,3585.551458424742,3148.1251226324393,2570.034414184458,4582.482006167398,3383.335916285936,4862.106017597337,4169.231723226947,3739.1420803148544,3501.7278248468924,3783.0198997450952,3410.6115433474383,2584.465392011395,2890.573558107477,3387.9618230550022,3735.4265312302036,2606.687456106206,3299.9906126246356,4937.044680611639,3983.0935232098254,3988.0904858460417,3956.11622209823,3828.2716576854223,4038.769564107803,4802.153283814,5907.888636662685,5091.70679340904,4676.452177248826,5570.37505442114,3914.7856595232033,4775.454180387888,4940.720330192223,4971.303319892785,4138.355854188031,3568.3234055611933,4153.055826394688,3481.833899591136,4070.9656909957325,4132.262440644579,3856.1099716881263,4278.6302446956115,3311.576785167105,4762.016029005561,3699.56487443109,4070.322407691029,2856.662708577808,2857.760436840428,3757.0008611112276,4563.131623390068,3594.208194939088,4782.662582359218,3711.3587639980037,4019.398541330505,3182.5481123265427,2316.607493619492,3370.5246171339554,2077.7034768317258,5544.945646199504,5174.537096740627,2311.270123711127,1824.7056484974432,1870.6687029654972,2227.5800332735466,2897.299568013507,2915.730008974211,5112.912538827873,4358.516624726378,3909.3109421770523,4380.84970369703,4271.655138591656,4316.265525293393,3131.1770049750335,3801.5076828544575,3014.049650461529,2464.2383403130325,3242.7203766880166,3117.8525223528445,4020.7206874439853,4245.129299297484,3773.9293622397454,4422.167603792738,5012.912897343377,4288.655568315094,2936.807407946977,3902.803118055778,3718.2472479533494,3502.334223523555,3343.117009907382,2711.1253679964516,3845.0925356736225
2007-10-01,3099.741440069292,4183.589245186241,4222.376363137454,3202.3420151031273,2920.0747745867247,4852.0288143085245,3531.8607570275535,3029.7583486168965,3792.0414362588313,3592.84390006535,2767.5171166618147,4334.425051874383,2502.1815389268227,4184.142601879524,4083.7871653543066,3471.3663690302506,3369.9880723414703,4638.618053676168,2947.604710408133,2255.5546276066025,2704.183508834582,3617.9599833288435,4021.0549459558174,3488.168229497824,2856.9172236187055,4760.989154296546,3749.3477887274207,4239.581300629143,5027.117656327721,3333.029413230155,3601.8761790584076,4242.377502938481,5893.244935530321,5198.698198187544,5412.839824273211,5387.222509936179,1938.0824615296551,3262.0323594654174,3872.0077858762324,3471.5049025837343,4058.686505561863,3561.504128878463,4016.377552244686,2530.63517325907,3893.4717712946326,3242.3284666060385,3736.2059163528565,3265.4769505339937,3649.1884936894753,3300.294436756354,4142.882408891155,4030.912717840039,3500.6915484849987,4316.113353392826,4321.755463796544,4320.554107104353,4066.8391548043346,4508.918773233426,4481.0067256771235,4220.15953272796,2948.4172988365217,2583.3753596165357,3440.080234868063,2305.805061902148,6384.506103628661,5146.9956766217165,2495.4174463762292,1959.5915193446751,2625.417932768879,3152.826103781548,3025.4831988720252,2760.7159332021974,4778.214128812991,4041.93789335867,4408.053663981797,4711.837297189235,3957.954511020755,4597.646435893926,2604.4613113165688,4623.58668708991,2230.4678441777737,2022.1843086607578,3080.01353134218,2757.775663455082,3736.228631063566,3976.236080576745,4854.854114138479,4073.3264103306,4967.214279238515,5520.031555662944,2995.183833633794,3824.750056369038,4154.320328871894,3515.647166311053,2687.1071042352437,2603.124979417993,3204.3781711327515
2008-10-01,2842.905511906762,3972.270522897473,4542.344422102758,2871.360074503476,1893.2889885472378,4478.76566121809,2850.975541645238,2065.4905909018803,3995.578156577232,5206.847721479599,3997.231363847175,4445.975508546036,1775.7238264311702,3150.4928515540732,3508.0787246709065,4103.338426147827,3924.628991738033,4843.135255315232,2869.7032890517157,2837.1262325776493,2444.727585965721,3556.1202227718245,3719.4158972075793,3507.553077068485,3191.816416443166,4378.278050147644,3521.538174565597,4292.470017234291,4420.5319819773085,3556.885525249876,2950.179787428592,3959.8702822571963,4619.5151446174295,4430.487443778733,4742.399627055125,4929.96348260703,2170.7857153526593,3826.938816695931,4846.460901590624,3991.7005856746664,3685.222264207306,3103.162400063533,3607.9295264862308,1965.7039266071076,4296.607506152942,3972.2474154594993,3959.5459688693136,3700.666442693696,3369.9952961431068,3628.545240831681,4842.141778292114,4940.629451514688,3166.2346221060757,4950.429155299845,3474.994443073729,3705.175975248088,3306.716110795127,3682.447784873138,3182.8757222433424,3506.4637388885026,3642.231361800369,2805.8734088286255,3606.904762190436,2362.3682538730113,7358.742414054162,6197.3308854314655,2823.4416309478024,1312.5496996078475,2865.629786909818,3834.4998480881554,2813.618196914756,2730.6198658148624,5034.3104285470135,3454.9424431074995,4071.398738267733,4398.953919203732,4244.829830868235,4073.3823005784384,1871.7142064348109,4072.2455733076235,2341.1116443220285,1895.1901019324678,3006.14664088806,2646.4405403367855,4080.264199409829,5136.99086606005,5093.657025471873,3066.142931696119,3700.135538892939,4604.809241832276,3766.4598601035614,3893.3243121213272,4225.866946933228,3128.9993996894405,2123.7317319608283,2323.9995491442387,2593.58808158281
2009-10-01,2187.5834422665234,4434.372373358964,3610.399781027523,2376.372345089101,2780.440799284679,4561.263233310569,2859.766817002335,2380.66074442072,3668.049681095732,4522.6891996565155,3957.8209202771773,4671.980179900981,1744.9312512764125,3247.1580044491393,3651.5550483962347,3610.8799635060523,3703.6803904572193,5023.280195177157,3141.073319669108,3225.357642171801,2751.107205945646,3504.4614089745205,4197.707592269902,3599.6189532770836,2946.339918344152,3205.1162405529985,2405.280821073474,4424.179843128193,3314.274044005537,3484.321330991908,2872.1662682211236,3901.383210620152,5477.084745817908,4619.102423956972,4681.233719058954,5601.849324781358,3018.6893701231375,4744.207453828936,5484.827891589995,4174.072733466726,3138.31506909524,2990.6054587654758,4052.4364969773496,1740.5672023581399,4165.979489182836,3500.277685345206,4048.5674192979127,3750.01246178415,3022.7382573890445,3849.401202112652,5678.382769941735,4607.338480836281,3076.969065892764,4708.903045293351,3161.781281287131,2795.0644475245176,2466.285829896362,2670.05014558628,2587.4382938245712,3272.148906886395,4149.956478300731,2678.6656893734216,4261.411954476676,3225.713818038973,8433.510440012846,6422.937291663115,2986.8152518297056,1666.1948481032184,3382.886144385865,3854.3660682199898,2495.192096293961,2612.2760921298545,4373.994462716836,3929.6716337130133,3726.6425034764,5225.727176654419,4171.21619793435,4564.1909635535685,1762.499572569142,4365.890444218083,2487.89526721534,2811.89738104989,3168.9735378039413,3091.9945971071334,2904.068789820292,3462.102103260729,3957.9520356488615,3378.3477840629284,3952.455884914313,4572.014880234609,3906.802105156481,3228.7884203478443,3482.0317944668377,3239.853300990366,2170.9437027904137,3091.8163425619787,2805.3964276724055
