,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,136.29181464651765,127.75361036337532,188.97898282225523,91.32998067264658,79.34705044489196,135.65289894511423,120.66598591250096,56.403185359562485,109.84525469105365,171.3443183891421,90.5272619963124,81.76500482098542,58.89722965288318,94.81931091470443,103.66630197418627,124.82826028565698,127.56332408270401,141.60810422434187,97.51968776966113,85.64796679791758,123.71078061811733,88.90306497425419,81.22595292106672,68.37767393443877,75.05581078269692,113.2797379910551,87.92825638085445,82.58140944770979,69.39753508974611,143.41238455188198,158.72456700543506,137.69493398299775,59.440002544531126,47.0681929785884,68.94836219794054,52.26380420950841,87.16024844826346,113.77656575881348,90.63762629364722,80.5808130874424,60.683150972189736,75.32411491447651,77.28952449794362,68.04764814987057,53.19349280298414,114.91568112879602,37.027600598802536,104.70627949309612,65.79205278176816,56.67801907810793,40.0546432383331,49.05085876037356,40.99274571609218,52.81647065485872,52.54613544870239,58.78091494233526,55.96261676526308,56.863902053001524,52.47767792815652,51.857097433333806,101.16406991228433,89.36555489083072,97.70427355447427,142.26629133067146,83.40743390912867,121.75271384455519,72.01614533327026,115.05162823600512,109.56228874111694,58.28313114152063,171.49449491781482,190.80170943075603,116.28914757276412,107.72538031445825,73.59523822317304,101.29869999470223,102.22902329892071,95.79131488000975,173.1143084688061,98.88502198223793,82.42990796036158,112.61877005828389,82.88115556290747,83.82853671833686,112.38644609173296,125.65474094542219,129.1073650718394,153.26912503115096,123.33991913113856,102.09647982806952,95.37824116169709,91.10662992922106,85.86910002068569,65.262787328114,73.623911280976,79.25379953595808,59.16428023094587
2001-10-01,134.87936902906148,123.95466822101238,229.18314804380765,131.85039845564987,78.72161441288735,74.30297243685725,108.57140609815748,51.09285412883567,68.18272649675053,127.81247185087949,77.48189342323948,92.40927058818447,73.43372417385825,131.94169762904986,123.7880804526979,149.64949264055224,97.06432248117177,239.00489215949924,111.90184047271433,150.21918520157635,215.8304088927399,83.64972680128263,79.092388627139,68.63489046293124,82.17881242359437,109.79692940187884,110.95395551563288,88.55804811533106,73.48095458700188,176.7274985453661,121.79593764613529,175.12411606872735,84.52924151054532,71.14613541737998,127.4283806118569,119.56221599700433,75.57565474876365,92.17900149766312,83.24156019039971,59.363777751271066,57.0420455237759,85.91247853300933,74.79268747735489,64.83563889908125,74.23233309813324,130.9005776308031,51.404933467153086,119.36513037750153,148.09922751919592,66.8132785651724,56.61141411954241,66.91986633358793,46.49412488038158,59.09334337156119,57.56833180388138,59.77719659355008,55.40614998934066,59.023759239446974,75.76284284762198,89.01877670959651,96.0770775241566,80.04492284041096,99.29049503940638,136.67060208389626,130.2821551525057,131.0879363081735,71.07812219435402,103.1187568511414,98.85005735419766,45.4626088490608,153.10651213886285,180.40819804330005,125.2836414419149,108.83642956878556,75.40486598872069,112.81785898356843,83.7234920904146,97.71792380238519,131.39446986137636,60.898492459430386,117.16798790186265,105.79009568961808,82.20574399379693,97.77376247997708,89.25615852737859,101.97268743158376,125.2733868964776,125.37972871448035,88.15515753749712,84.69515093175352,100.22644743452443,90.04213274093104,89.94608513778697,53.874561231589304,65.04069013840535,67.62454996876488,50.29318206406661
2002-10-01,97.84912247985018,96.18541074711466,229.4538640764096,146.14667082826915,103.54414395786307,94.0523343870704,115.78556013559562,58.40148882727171,61.939049151892995,56.95773213548812,57.582660398898554,97.82592776914544,92.84608645521743,130.43497763158717,125.90457102764611,162.31736303244267,100.63941801234138,243.74882339117988,115.90831716018229,159.2051898145431,224.92903896006246,86.55963754018399,75.97434036792698,59.86823791571081,58.4405711412555,97.8895099177987,81.24902465656507,88.06816646326347,71.74798004446566,156.15045395191868,131.0588030850821,141.6627885217704,90.7880249710799,76.7521387137246,140.860704556179,129.38592771599838,140.26411612743158,111.50647518412391,126.04160904394425,129.1250695346195,108.17667552030981,139.7449346407026,159.0500506412506,103.11443685114868,115.76431319348264,152.14786883469205,72.70124814203389,131.8109392821626,134.36018754233248,82.09754167992955,56.55137445022203,62.5505889855739,48.557613141369465,49.55545380084614,71.7134716147717,68.02682963750894,67.07287129200796,55.064798584956826,83.66142531365962,98.40980214832749,60.290102377810314,71.19725740076497,79.51032581651785,76.24121243359328,140.04311778069635,140.93367248994045,52.96081577858258,85.08373274928097,84.23551324657714,36.85430076438364,117.38148476100729,128.31628143680794,89.89063918746714,71.61924880501302,67.08721575479372,112.69356675237277,73.61629078512107,92.792132075143,58.112072629412005,64.9309446840447,137.65832704091068,113.68632179202332,93.28864645447216,95.46817174005804,95.70979818593213,107.5751601494219,145.3459237221796,128.37736837885382,92.1899542249174,85.26617638533736,116.53489567152381,89.25569836209011,89.48017571708398,87.03604745673711,86.55593638316543,96.85330892780811,72.89295458799207
2003-10-01,98.32194628070684,97.92660082682714,250.7410309827108,148.49934520447258,87.22733737377031,92.2648738942127,134.0670027494378,64.79957939500974,63.30093212480619,59.90923626274919,76.52680846617015,122.53667285149949,118.81472905611434,148.42231908889977,144.04837661692667,139.73790918616896,89.02174398231878,234.19626803536556,128.19718986676057,154.1582000709761,213.5504922023644,97.2128487619134,90.17277604649615,66.51256848303416,63.023932455851174,68.69788947108961,81.04475887178509,86.7807231596464,99.99647586466378,155.37522221768697,146.7339686785198,147.33838785105573,82.90250564551614,77.80805143921918,114.00765600635823,146.2986483486744,117.59489434742474,93.54902463585188,111.65516410949334,112.50280443864446,111.60990129965224,145.52904967228446,167.69799641181143,112.28090559604291,95.5085552110644,76.07796879750454,65.08134732841953,74.42955756061104,145.80943710982882,80.43770168272474,63.4663417113045,60.830514938883724,54.79717676722568,61.544762871565226,82.42290630748082,75.59852417021274,74.97441706382573,76.42953904484638,125.13993102893379,138.53809166752833,63.81266766113451,71.63949211076405,81.4347330860044,76.47444086295258,126.45218358870741,110.00635221144351,48.84979033096009,28.500975819772947,28.143859787316487,40.31739365111377,93.4741089334987,104.52532742728513,129.92881564896848,97.88542396739234,80.22164217895633,116.73437732408046,84.67947754335016,100.3645684260274,56.466823045405754,72.62978367934433,157.32737428051527,145.59901066390216,116.74570691083827,111.31508212659497,46.43521182262955,81.05578300399792,72.53645343156762,152.33942850379097,114.94893997171523,102.08237338181229,114.79475286453687,74.36019161031463,61.82733609422987,98.05027818199078,85.33844217033965,104.48486461743592,82.38689043977287
2004-10-01,97.82012016584945,67.8408950923675,269.8346296282431,170.22390318441734,75.49449904642097,84.5821367170678,107.00026296030742,61.54341411123692,63.11508088544974,73.13905971154456,95.88616446662685,112.35163617443622,130.21334457410913,141.2499924894077,141.9566714964822,143.7759547992036,122.85244144600904,166.36252137273806,93.29892876850445,140.62282290368705,156.28860271201657,55.707534451643056,61.68126931761635,71.1833453346727,75.55337640169373,107.91757072735773,104.6684666005978,112.24210096800911,160.82696303495254,156.84464105818768,168.99780864102752,150.65235544878078,115.14442294659266,86.3744329123967,138.66486323756274,154.16670519492874,119.4441478980296,96.13455851579535,110.54182989649217,113.00829600804114,101.22347090391983,117.65688971922116,151.2237101585624,91.93700215922767,117.03056509217672,96.86044942366385,91.24964216038516,102.1128712330006,157.72830915587312,77.17875160556817,75.00066235303771,68.77885079326732,59.39364882560093,69.90646996492214,96.57481768860767,82.49664779495994,79.24700019712657,85.33146828605386,173.3118304519445,158.5915117990476,62.17166667216242,62.81082039009435,68.95667690867035,43.88960918228825,116.69969038199012,96.3530180195597,44.7207589329547,27.07226970647641,24.790079958253504,36.395623079205635,62.18749080436718,67.29289377097629,142.4506390989561,116.54018757234137,100.6778338800453,121.17708673808653,74.54853805627845,80.97655126859418,50.76292355087889,73.17690830652214,132.480428206655,144.00630322856776,109.76199650937568,110.71530824330748,67.72375129091188,113.81337898189197,91.70056844061756,92.28085273716103,75.81239392191871,98.54682032991491,116.76832641493237,83.46051556193181,67.01794501110872,95.56795620269993,95.55849107874893,125.02339813656805,88.59928844584013
2005-10-01,85.34958531081676,97.22602694370937,166.13361294337147,148.50973859288482,79.4896858165526,111.73941005976468,106.54691287842624,83.09350597577301,71.4884071523408,72.85695062111053,91.33797802800503,86.22642233413355,120.29695715279182,136.21715679540367,112.49422394279114,156.8757458515237,132.23810357896392,163.83014451749847,108.86597535385978,144.7478357893025,158.41733923735742,61.77069609432526,64.23701939595709,74.5699516099614,92.20160116704655,123.35540607326122,138.01169827998498,124.82398392202782,183.83802018628455,151.16797462146616,158.49742386532174,171.40873756258736,133.46816109755366,118.81160707264853,152.04021792578249,174.78800499491317,111.31641898609688,75.90956416968895,90.28736513721225,135.7620810936907,118.64324211425435,116.38903120895957,159.08060799657102,87.4838676212722,161.88890551250304,100.17969305443789,97.30262066258867,112.15142063758327,136.9062900173837,81.65406928398214,81.10307688821581,82.55915490229269,61.82460683803612,81.82278730022695,95.19309207109978,96.47789735819238,81.00100746690008,84.76270002254887,171.4482126038432,151.18924933217417,58.31828221584159,69.45064054420213,71.85621409387018,57.318862713392384,121.27865235775022,182.17023440396912,86.88707291153342,35.78073514635681,25.782763592945464,56.524177094895926,56.07818965763044,44.70195959414339,167.35282484214477,134.78682820277103,100.07393040998788,155.8716889937104,89.29078993227894,87.4841294394536,72.2145995478121,84.30223721340693,119.41311450965212,93.95645736243848,96.59929372162432,122.0776857448344,77.83197210033592,123.73293202303869,96.69436942394353,86.7201082837154,69.17051095789702,84.37207522981825,85.10227026991092,54.12050371051396,63.0648117946253,87.9251502651572,78.85989011513384,91.50506563102942,91.56799323422926
2006-10-01,86.2162074581177,104.18559453529525,120.18694591330764,100.68082495442044,83.34479985964735,114.79423319511625,102.87972081848608,78.54456581814418,100.35496049215928,77.10467292800695,90.96729902036478,88.27447919018876,97.87593900873064,83.71859688381127,110.47933468998585,121.9938682243144,109.8099370051627,80.37755490596649,96.7010695892215,83.60657837160323,73.81998136329045,66.71531492897373,62.905443861009374,67.93225773684176,107.23807717478294,127.31389466163645,186.40423109105396,86.40284018507616,170.15884930022935,87.63929638134104,150.9621736300772,133.42100208936859,131.34351052261917,105.37571684734067,99.12129305622024,166.33432038105002,107.30259948872393,89.54537241118906,117.55463385162474,145.17130686296954,179.59946548267843,104.86344577382319,167.2229312886445,104.50771023723216,151.19920239000862,141.14509860528688,95.32734132707205,135.06741398742247,61.74898105303951,104.6068599891313,82.05616250644553,74.89515755982697,57.49127791971361,73.35708681861543,91.97218496908577,108.22657568551504,79.65450829561388,107.23677205081822,158.2943878326058,130.90145432501652,125.19673367346621,80.39352581503053,60.8598584099087,47.88977843175031,116.80698426610697,197.29308264296503,94.86574397247747,34.9087893627012,36.256022418283706,60.86967659171034,53.18533280299789,50.59110338587896,155.58153494461226,132.33453994243789,96.46637735821177,191.99223637089995,90.24260216208104,93.20357538023526,97.82780413277864,130.7298801104294,109.36360444393088,70.87265839304715,85.83235026868145,71.8710940938451,68.87967459475041,93.69527785874608,86.93676679574725,88.59637671030782,115.18671054982724,121.00196211028228,87.8756031578026,62.86216848918143,62.83630799335721,99.25046462625068,95.05886264983822,93.34548480148388,121.07712772999042
2007-10-01,78.96019424719633,107.82760047957534,120.99549996153283,89.41256712215652,55.77230668293894,120.30898492136659,96.87914165503733,67.34727658080206,95.04019818705974,86.59709737483163,85.99321770642709,90.30595026114793,68.41672847982754,86.12601109463321,125.00014392173117,78.1412944138646,93.51104909872572,111.68852609290826,93.23690959505515,76.03613342567417,69.40705971782926,69.08317872663913,84.64173208886828,89.00725274267376,98.75630661055386,122.0130523565135,180.21968895270837,85.24852745974728,167.33462451159693,65.57227625321265,128.15286325526495,104.91430990596892,134.77752969039003,117.89878591716092,138.93472637760416,163.3376169150221,45.28247794027323,91.36074827590056,94.75677207183453,94.46639984091857,159.02182188096756,63.53439460375188,78.1128712734166,57.44869279581839,112.11822923268049,106.33283287878673,116.43798327499279,105.33386560774173,69.64335062652225,91.46487654018803,91.99243224177894,74.83034169216751,70.4034564103662,102.28457238973624,117.85450294202887,101.96679652250279,82.78150200935627,99.91086925323769,166.10499938970068,124.2699012783328,119.63060211259166,91.63504645725682,50.464645204273744,65.70156286456518,144.82980868172646,193.55277587240423,98.54104842909821,36.89890506182918,50.939476277854276,72.78779888568981,49.882976444922676,49.08298702478227,147.2079151240027,117.99477401617281,97.05717405143174,172.6098562382506,72.91733938133945,88.96179555266767,82.00161308504978,114.06345104758658,93.19802166123634,76.32983788798948,99.91528842678397,69.23111789994371,71.12992649178746,92.98646066985707,124.21233301396691,76.37885342509702,118.32101137099534,139.05532538566553,79.98155887357551,66.03800716151926,61.26588287203486,77.94852086047024,72.82103392695616,96.94330297724333,98.00168710769243
2008-10-01,79.92448251003528,105.26972412024644,164.38833691325266,91.33058761479434,44.844491825308324,111.68233766316662,51.37857710356111,55.63329709639617,100.5907079297788,155.1696473420001,96.94290231608697,76.30317606985257,46.623256780990566,65.6256474927922,117.86749864448633,110.51511650810741,114.08910922936154,102.9644348679302,76.83875292845478,83.10751721541885,61.11992320285918,73.50508946299429,78.11680648002154,90.34622662471646,111.63663055580555,118.98139616327167,178.3231732534228,149.89405462361148,137.5021723304298,75.00996086541878,102.39021999286412,97.66085140578706,96.82801173776807,102.84218957887988,148.42066487402656,133.19667944511824,55.2621817251203,97.27108743950127,110.7787356812172,107.76320114084082,181.29757853767006,60.57181080708798,67.48622666321269,47.413380416023635,119.83348343456403,117.74311914056355,116.65226558868152,101.98831321668142,56.67896717727989,104.45444610509044,151.29413131546863,91.59478596145686,57.76977709279834,99.23594958495278,102.81758263677256,145.84918587009244,58.63144849630596,89.6275238160094,118.90155748572019,87.46661142295416,133.62296308076404,97.41126727397595,80.05589143543382,79.23209242855663,174.0162125995187,220.95019599155623,151.23702321639124,28.085692514687164,61.04826832694678,82.35576977866825,53.78318271934648,70.42345376570441,149.31517859152845,97.85397405008993,132.6572070493325,161.3308440258395,89.24278199847548,86.63139158964994,71.86615525087822,105.38919651673946,98.87361305663732,55.04876420481854,97.39370165417083,67.65135062987677,78.06498631481956,112.04612609230605,131.47788275379787,56.83921180510921,104.92824180677191,119.82907219490205,87.87653935614814,62.64259427467516,57.62926800212587,68.24643162061022,58.05864585264247,110.15122097153014,84.23003093253679
2009-10-01,49.354583718539786,122.16056310006672,115.28197269842717,62.15747295317806,75.25324549310824,114.2445419563725,52.678789993933535,61.51664915260431,115.96041897827638,157.4201689911028,80.05329308833075,81.04363226021674,39.20816919017179,69.87623789885734,133.05482556105966,105.69296511126923,90.62867290523253,108.89826229595415,78.5122154049755,71.05068682249942,55.13802040301534,75.27631722860659,104.34418098130918,121.2040817793634,102.28785305088776,72.53482698528937,152.96932734570544,148.3435554526688,71.07865773154322,82.00085143215851,82.9471020090774,97.19865504292903,121.91300210874807,107.55319915772338,134.084151840318,150.35149858978326,59.13861808222875,101.99938495219997,131.55348870408375,125.4737293754791,176.34393887659053,65.03975790700198,77.22327259722874,41.79794373126515,99.46452082423727,99.06586694061109,118.33842624699906,83.07661473613203,47.88887793588406,104.35750990690659,161.1180056790905,81.10577044193028,52.6351853659078,99.85441173267161,116.02129170544657,133.33349134571432,49.27466173520329,74.81231987401604,61.61733411111244,58.937502049509575,150.89150255581606,79.90993573320026,99.14670925452454,128.79752705583223,187.5474165436743,245.53683925593742,153.7731369311287,30.161168874828423,72.48900880354834,81.58490168079284,67.08754501099152,70.67354963305185,129.5395832529297,82.85541407534751,113.85393303141045,150.2224618957857,96.06917934235175,106.0022755239715,69.26615393294257,111.45329435776719,102.86991057056872,74.12975590822334,98.02692082665818,77.487296398437,63.10996353008646,67.797409472606,104.01529370913575,74.81095127897704,119.86000640972598,120.74624508591951,83.9333591974992,54.767361230085804,49.51612156950741,74.6488461552831,56.20582998799401,101.01748743319233,84.65809969214651
2010-10-01,31.406249203310235,81.66247523438122,130.93703382908882,63.27287394303526,105.47407321081141,81.06944515273524,50.71760520384775,38.21391464639157,135.39290952406446,187.80890546885374,80.85143391343296,115.85190327597975,32.098135483136815,61.896793284195546,115.21870393820312,100.59298495456835,91.24894397856816,101.49796743238322,61.22446402912939,79.45054796537885,47.145703061102495,78.48750532237251,96.87558727487803,208.68807237584204,117.32042955449852,53.2063575963509,116.64407385315819,177.22803540402734,57.5531939526672,81.4485063091217,96.46849570531563,77.36501143996526,111.60370890296844,89.29182530417802,124.66981664956016,186.7643818342491,75.91866036802075,102.45879255473213,122.20471516610807,98.26663917336195,160.28215113504353,86.4196282842214,79.10311127174904,54.263876933413016,66.11907559113482,108.4683211396534,112.72557997545937,84.00908415604937,37.49876225090167,111.44695121728202,178.69776763295727,65.11749807216032,63.78761642150728,97.7587753725643,107.6594338682883,166.18021657965664,58.48034767011413,87.33535324135701,80.28972283999872,73.158001860273,145.32297892882983,66.58130765647212,82.71895919954426,117.35475153791177,173.7656287982878,142.31683017356158,127.03511383565966,63.51792782692009,82.25172482016576,67.35714236590941,62.11599857308261,102.79179354590688,76.55022532563487,66.17475162409892,104.19372279974438,122.2466417776077,125.14811483057288,110.2286517152014,73.39603028962424,114.10620278305178,126.27660672949897,97.18869801815244,106.00843221817603,71.0411185580527,65.06783195654145,63.9483529501622,106.61430725847804,81.54425242466296,130.7285868872911,131.37657895231555,77.07069210161791,64.70977179185519,47.371406201218285,74.46596615559106,65.552266997048,116.50534195256533,82.1117711013932
2011-10-01,32.88368920082223,119.47064707153869,169.22898219435726,87.04549671291952,96.18698959008722,81.84533936630467,40.65772555136709,31.193791683006843,175.96968168713812,189.92445587851432,115.49902790467317,104.4717776753092,36.04168853434712,59.63634634585339,90.89072116925408,139.99774786341735,95.1699886000643,89.69585439440674,65.09600121269237,102.41797668703227,43.169799596723536,117.24058691000488,101.5938603247837,230.08456424063675,104.74793238558796,46.312990335232065,75.72068615347811,213.8777133588382,71.7966940939704,113.75598129603823,125.29568507825826,102.89436676887465,127.89117598297835,99.9346153689002,157.24058552033085,142.57452670205325,76.38137243335723,94.88200050137574,110.06461469068424,103.29096974341338,99.86847850950743,87.1213367127918,78.75321507399116,36.39287795524332,75.26394830300758,58.84913841329474,110.89269799507485,45.46515959285816,31.24514374903607,81.18418895419492,159.7913055160354,93.2139767025318,72.35998401037719,102.11973404290639,108.69488113927186,161.30856171182745,61.80186039179344,103.31153833842006,91.80747753134662,57.5047853577074,71.41802566485602,73.95540483413679,88.97258960223628,134.37299679850926,123.28465169321511,94.15283686624,127.7257505287115,95.91979620210742,84.54595820473205,59.03375593364501,80.19030333603392,105.96805271411178,78.66321309067163,62.84870072060907,127.34381730621415,113.3003938587889,128.1327706933153,79.97692548515357,51.93923693732773,73.58144516534504,108.87757865962536,114.30503782403925,136.57616109231978,86.13031522685738,67.25206203550786,56.97488916025262,158.53554617930715,81.42187622652195,83.99545374284916,107.9035436199433,68.8666154212187,69.55958070930794,70.47142996397073,90.671012078715,91.25579488764754,117.27809434795824,70.05140219608305
2012-10-01,42.039828028378494,101.6305704073665,155.1535534577297,97.4519800011801,104.12244875027761,52.40611825885552,28.513459786694074,34.1068601078533,171.90110648737806,190.0147633163788,116.42626889484724,106.98619221652946,47.93017777052525,90.74119918603479,76.33306301195098,157.9104751059796,81.98441242392171,82.67354564590171,60.43513774946688,103.98225701497654,33.48311796014335,117.75250889261386,85.4531383684936,241.37523132906128,118.21600244555236,119.71717665790042,103.32886594169666,223.19629846711265,61.67015791267638,100.44946495481005,90.64128778124436,102.69286594276771,132.16366390966778,105.76659949131052,125.9813234242111,136.91328373638018,67.0086306309591,69.01426104080478,85.05900283196725,96.70857504375434,63.65496584321826,70.7992461617658,66.01092088057317,43.35514703442795,100.77323883856234,68.79785641307002,90.20560249272184,56.61328651623347,33.76425118281042,76.84001044911383,157.76216304011365,100.60191454133017,63.37722435608267,116.56147815081793,98.58764016455692,152.37270718142088,69.04804748702888,112.04268278652674,69.5424276514856,69.6568183950946,74.71097640311234,104.67873701380366,89.51157803108069,120.73399516858478,84.65434299793796,97.49232776970722,160.79840898541383,171.3869550832852,85.26397869939066,71.73590070564302,83.29227357874407,104.83812081518813,108.19722428060578,66.32433311145031,119.30680046024438,100.67694528500546,138.2868493539018,77.65007986923727,67.82590798495475,63.262401215780166,131.08194622553899,106.07486659822942,133.74443481609669,92.50101802604645,71.43826897060703,51.0813103272022,105.79465370613931,91.57416579620234,82.81163093492538,99.14479718841206,70.64523360004168,64.94997013855813,81.47803225948519,83.25939159532838,102.08363883635559,102.51673371165934,79.74593044422026
