,FORE-SCE-A1B,FORE-SCE-A2,FORE-SCE-B1,GCAM-26,GCAM-45,GCAM-ref,LUCAS-BAU_High-0001,LUCAS-BAU_High-0002,LUCAS-BAU_High-0003,LUCAS-BAU_High-0004,LUCAS-BAU_High-0005,LUCAS-BAU_High-0006,LUCAS-BAU_High-0007,LUCAS-BAU_High-0008,LUCAS-BAU_High-0009,LUCAS-BAU_High-0010,LUCAS-BAU_Low-0001,LUCAS-BAU_Low-0002,LUCAS-BAU_Low-0003,LUCAS-BAU_Low-0004,LUCAS-BAU_Low-0005,LUCAS-BAU_Low-0006,LUCAS-BAU_Low-0007,LUCAS-BAU_Low-0008,LUCAS-BAU_Low-0009,LUCAS-BAU_Low-0010,LUCAS-BAU_Med-0001,LUCAS-BAU_Med-0002,LUCAS-BAU_Med-0003,LUCAS-BAU_Med-0004,LUCAS-BAU_Med-0005,LUCAS-BAU_Med-0006,LUCAS-BAU_Med-0007,LUCAS-BAU_Med-0008,LUCAS-BAU_Med-0009,LUCAS-BAU_Med-0010
2000-10-01,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2
2001-10-01,365.2,365.2,365.2,365.2,365.2,365.2,365.6007377708519,365.5784754195987,365.52721084665376,365.571709575653,365.55257728664225,365.5522554188686,365.54447541981733,365.6007377708519,365.5759096445292,365.5332394164743,365.57180226542334,365.55261344583835,365.55257728664225,365.589734001219,365.6201676517441,365.56423803321826,365.607339285681,365.5837298770522,365.52211426738046,365.5479777689942,365.49517549652694,365.53610499032465,365.60425675665414,365.56627890577914,365.58907617546845,365.55221077159825,365.58981497744696,365.5692509200799,365.5756276707042,365.59213986097063
2002-10-01,365.2,365.2,365.2,365.2,365.2,365.2,366.1487437988543,366.10584201613517,366.0246749763487,366.1068841818857,366.0683252374508,366.05106728498515,366.10467303855626,366.1487437988543,366.06111071390285,366.03008833055117,366.14472792118823,366.03135610931383,366.0683252374508,366.1238520119751,366.18466702648817,366.12049684600487,366.18449709524265,366.1312064189859,366.03109450686696,366.06081414059025,365.95568968113264,366.0158468698951,366.17539397518493,366.1002015210671,366.16336925998723,366.12793613375777,366.15139547323474,366.1382892076223,366.1029319647761,366.1697280158943
2003-10-01,365.4,365.4,365.4,365.4,365.4,365.4,367.03821593647285,366.9630369804859,366.86879313451817,366.96773493235384,366.96923115426205,366.9113738210644,367.0513751834817,367.03821593647285,366.9487653422842,366.91284213557987,367.08020515493956,366.85150040652877,366.96923115426205,367.0136993289847,367.1603876971844,367.027560539265,367.1119835526889,367.0800403114225,366.888075326175,366.8872314576514,366.7419313114293,366.8415090618297,367.09551506879563,367.0098196344463,367.13508160531046,367.0552843672177,367.05977586912184,367.04197645658905,366.9837731039072,367.14280779136664
2004-10-01,365.2,365.2,365.2,365.2,365.2,365.2,367.6561048672593,367.6311561274951,367.49757107617427,367.5799950816145,367.6526103308314,367.5855471718783,367.80223539875726,367.6561048672593,367.60078668680956,367.56098578828716,367.8207647526491,367.44831667454207,367.6526103308314,367.6603102052528,367.86930307522636,367.7263622071348,367.81210528585854,367.7912087638804,367.5596856181031,367.4634741616545,367.3561902324028,367.42870002346035,367.8075421748396,367.6742656522257,367.8989795025589,367.7284235310709,367.721403336982,367.7012595183549,367.5800979124242,367.8818736577783
2005-10-01,365.2,365.2,365.2,365.2,365.2,365.2,368.6405220048429,368.7007054238476,368.46198776451786,368.5481811539494,368.71709835829927,368.6537706310406,368.92462974747093,368.6405220048429,368.6333724571541,368.5658956834145,368.92146952535677,368.4297748694592,368.71709835829927,368.73889641468423,368.9161956643983,368.8101853885868,368.82755787842814,368.93735138611686,368.59449068032825,368.4821496759983,368.34286927199963,368.35840320450524,368.86590520796403,368.67210022822206,369.04385213913343,368.7885247520302,368.75353092108116,368.7386491991743,368.5277229830987,369.0042929614301
2006-10-01,365.3331721904539,365.46538373902956,365.281377889131,365.3796159886927,365.3796159886927,365.38006815589785,369.28321759340304,369.45676841048356,369.17162115503527,369.20874838273994,369.4937697100496,369.4218970384926,369.7912874178642,369.28321759340304,369.3045209192438,369.28493657633055,369.7546638120196,369.12105279951686,369.4937697100496,369.427563582879,369.55649133485883,369.5342994336913,369.45973674305316,369.74350894954995,369.3723271051434,369.212152577222,369.01840708702014,369.0105320992095,369.55969221275546,369.36704059253594,369.83787175645887,369.6229170454858,369.4264785153785,369.5016009370704,369.1665498771996,369.77630198378324
2007-10-01,365.8065856449405,366.1994738893747,365.64666546071123,365.95334728999575,365.9537662999338,365.9530541631472,370.02743758776603,370.31261649884755,369.9388000427176,369.94716560540434,370.3367382853083,370.25355923566883,370.756859204739,370.02743758776603,370.1571907689166,370.1165288796807,370.6627292887264,369.9405662649175,370.3367382853083,370.20882104809664,370.28187140902,370.35106775543375,370.2167503181883,370.6182102553234,370.210743153663,370.02838913390605,369.7753249385381,369.80179171060763,370.37354990874036,370.1634868405119,370.7129641750178,370.50296510919424,370.2226258696582,370.34525785514813,369.9161980252456,370.64986373048015
2008-10-01,366.02061756904317,366.79979291228875,365.6995235186929,366.3224691801191,366.3280774578213,366.3190469578305,370.35278321336875,370.7134278075837,370.2024529790282,370.1833843552249,370.631491699439,370.61376663964575,371.23817538487276,370.35278321336875,370.5043687827227,370.4063100055249,371.06840631460534,370.2247158377054,370.631491699439,370.491529033338,370.3971945547372,370.6469497257714,370.4205881727998,370.9040910208429,370.54513739472463,370.42293087151216,370.11130534904885,370.0720860626726,370.59213995864167,370.4271051124577,370.99968573195963,370.8581750732093,370.4983630609374,370.7037501258299,370.1234056006653,370.9973877381899
2009-10-01,366.57719238120313,367.869036353315,366.036415258213,367.0851594266745,367.09850712586,367.0818425316688,370.78052171801573,371.15356484221627,370.5050584264263,370.52937523581005,371.00985660431166,371.0033045663507,371.7426267274886,370.78052171801573,370.95265929167135,370.82612132791405,371.4857861432589,370.59366356377484,371.00985660431166,370.8157542847723,370.62693888247753,371.00869413255083,370.6567639143624,371.275671917291,370.91428119530815,370.86170234476725,370.4400929403662,370.4405952948289,370.8795527717887,370.7656278458377,371.34842488120967,371.3049655696851,370.8831722815049,371.18262028017995,370.4475924860042,371.4030331437833
