,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
2000-10-01,4708.442273062718,4654.054873484885,4883.893991114365,4975.180069638325,2932.307931590919,2982.6289972913028,2996.79802206083,2968.887168554113,3151.5760409737372,3126.277133247746,3149.9250115550303,3889.482189813749,3853.3884907009765,3889.4575392352776,3878.986303550432,3877.49949363558,3855.7392450771836,3123.519457880489,3064.497840789799,3119.587841358184,3090.1193957879746,3455.03724905775,3414.2169582174006,2889.340180258318,2899.7243891664507,3423.6799915898946,3409.6765231837244,3408.6410283094347,3458.4206897132094,5649.477511147436,5700.744311722261,5627.177587879205,2322.364756419716,2354.600866117497,2375.590559966448,2359.328140159123,4162.824393650961,4168.852864384611,4251.243182262394,4246.870287063146,2762.4005070836547,2737.0765996882837,2755.140713376872,2751.6092423084388,2306.6498182643622,2293.6020536582355,2270.80901568009,2271.1143551837076,2516.46767972921,2938.729534224733,2775.4258187972573,2792.852048189399,2796.640132811119,2796.41931297678,2999.523378750455,2935.013120346694,2946.297801319426,2989.5344914945495,3017.6936597115923,3084.06460042627,4308.420663157843,4281.2155762615075,4299.292963338504,4279.35194651258,3343.6648446172026,3336.052020828369,2987.9385192658324,2857.837248741121,2992.7857020675865,2960.583668402807,5277.28860598908,5290.6311223302455,2941.6233590132483,2952.475282300759,2949.1267983394555,3019.9196021871826,3940.4298498932426,3902.4121997093293,3879.9541937967356,3813.560129776312,3151.1139477513752,3216.6801506161682,3172.731239615798,3186.609975460195,4117.601618189926,4119.867234053879,4037.1630675815827,5161.317948333134,5207.731238833486,5180.586437556884,4096.295905829111,4124.753423797716,4136.381269067392,3664.882930687841,3635.461477514247,3685.907244040866,3630.1691919033237
2001-10-01,4521.589364947627,4416.177755207786,5263.6554079955085,5377.320835903269,2407.9965499945206,2472.4103283984446,2458.062592885416,2474.544840791544,2403.733693803352,2399.4359919924073,2421.0515979064203,4503.837739192397,4454.647597126472,4504.251154067734,4493.462079044581,4694.178751764423,4680.118524350086,4854.560171659631,4835.57118921227,4902.305160670138,4851.964145217721,2928.812547795152,2896.8752599150503,3222.088854078135,3254.348840800668,3195.605108007031,3193.7568263572507,3217.012735078418,3257.061642118414,5389.957827617525,5481.145748125123,5419.704907236853,3538.2615014795847,3578.161140420658,3582.1417843808968,3571.2913248950363,3489.5044027187164,3518.2979444884095,3578.281687858471,3574.980418442543,2847.314240494379,2901.1840255276293,2832.7835535767003,2878.826736309081,3344.3291447813726,3306.5038476549876,3261.464317152322,3329.9839124088353,3305.1768618720985,3663.0254139967547,3223.269301018295,3228.3832725799316,3259.4150146764346,3235.3316375269083,2973.6168703643298,2951.1661001542034,2922.6546079708114,2973.572833339611,3978.981724208486,4114.87872497137,3562.5489738353776,3494.3524225452625,3540.612339161576,3567.5410769674677,3648.842619971052,3636.0529366868036,2761.1998961765858,2621.5204636845333,2765.359235012556,2744.3968138908326,4894.089056221163,4918.52818477505,3003.34660254567,3059.788759144836,3018.5451440076786,3079.6558718386527,3032.394187290143,3024.7378937493163,3054.153118823749,2998.916365197759,2853.4344388311797,2888.6948341437023,2846.120789917876,2866.0186027769305,3500.4646473283583,3568.2127675448487,3493.4975465136445,4319.72081917187,4312.632337861493,4303.519974240476,4094.379856906717,4147.045559958524,4135.594715680287,3119.5840410276123,3091.369934628844,3149.57912990272,3077.654755808965
2002-10-01,4376.6057737868205,4312.34050579587,5466.42108567058,5560.978483197295,2637.2245482861867,2682.1511954832577,2664.9889462559604,2725.2280496255917,1909.8372900069742,1864.0960233071435,1915.4344073529207,4645.251923417065,4616.281178341885,4652.045379273394,4632.026296993055,4321.714921647853,4387.025344017207,5142.709756628932,5098.599307777596,5200.107494052936,5148.179792983357,3151.7764786593502,3092.296893966126,3090.008388846012,3107.1965184038445,2700.585900906759,2710.487590807439,2732.634766968491,2736.830704812665,4751.617225717285,4845.496101592252,4730.246891868975,4144.217213517006,4145.926838638094,4174.056607846922,4175.2440128036005,5362.856980059857,5381.204008128136,5429.560580608686,5430.279838789293,3021.8704292913353,3044.329161154342,3015.3928372361274,3093.7103154513484,3773.4670627363903,3782.7690104893213,3748.061194349422,3845.2966903840247,2885.2154767941893,4703.059017534594,3127.7476191956825,3126.3471735782064,3142.315591402556,3109.354753110954,2995.992800244004,2971.4575328473056,2935.5602767094088,2990.4636683524886,3924.445358019333,4035.8696064267356,2887.7041657156183,2820.006933432927,2861.8099151807123,2827.09792581768,4090.8055031937283,4069.869696286835,2227.4591367448265,2122.123601054443,2193.060353331679,2173.0844591504433,3933.934624780213,3958.712661102123,2784.713152335337,2810.539465019118,2817.683459717831,2852.807562799178,2502.336281405901,2446.923720838058,2489.836399112901,2465.4832381621763,3500.3098096426684,3491.4533891617148,3459.0773574806985,3475.65918753542,4042.2819184820532,4080.96207973923,4046.3028626075134,3962.61031663275,3964.9272210916574,3956.6496330064238,4047.120389878864,4097.802970950539,4103.427067469994,3662.6208454023945,3634.0415502439105,3671.5729485278152,3599.203443856297
2003-10-01,4493.253251276337,4459.65521496928,5707.627595016454,5750.708245522419,3077.056648041377,3114.853617233926,3073.4848530060694,3173.1071708548347,2281.499635166219,2227.399148645754,2244.6179545671707,5522.549782435563,5488.483127286319,5521.118243925577,5486.21229489345,4202.651409782239,4243.519069878706,5118.667715016527,5094.4506796854075,5231.340915487943,5147.1035417455005,3873.416276452373,3779.7642580976867,3328.14484199871,3363.0881596258155,2942.9236076060997,2989.265183726408,3017.9562435128037,3019.6652458239746,4722.861837997114,4815.194725114353,4697.053757379417,3938.4945613014593,3984.976852793431,4000.8368858245744,4025.586272890335,4618.6948960237705,4623.267070561526,4675.721403035175,4656.39019645616,3276.6351138209893,3313.4882126019043,3332.7119150488697,3367.709448874232,3161.6963926922317,3166.0654002881806,3175.260312008233,3243.230073216086,3235.157818023068,5185.13820614426,3024.7575102782093,3026.616907299871,3035.97948182956,3001.9988022173616,3169.914361604013,3157.547356005004,3172.1801599473047,3204.440202207028,4798.382919522828,4931.952027397072,2888.6301452181915,2828.52345441032,2893.1356632271336,2845.828438182832,3926.9590823126214,3918.866710756,1851.8584986996523,1767.0967309085063,1813.987986366731,1815.273811157955,3978.1648435487045,3989.409279893405,3282.702333645483,3268.8776711894247,3297.6003395708076,3283.4714999251796,2959.9399804700065,2962.0513616234753,2953.186392382207,2919.066449299168,3799.314245502781,3825.205544632734,3786.9110931269743,3777.4837106635114,2721.111537896987,2763.312261131706,2704.476673792769,4961.696270652768,4948.079813155037,4942.445553329814,3528.7809183550535,3553.108361619871,3589.1823450301968,3847.132027901595,3828.797880494453,3870.887719762416,3823.3772563713505
2004-10-01,4042.6318305475797,4010.6689915931415,5935.083175459865,5940.709969499976,2896.2936189242946,2945.8552849565353,2896.4030866927055,2982.1728108457896,2469.0999112139366,2423.1333856715096,2442.2077129121153,5338.739411836009,5308.422290564749,5362.77888683685,5369.652617734363,4608.783709263601,4648.116075478358,4354.42706043574,4327.794514364887,4427.494742957322,4398.647992592677,3443.974704944148,3331.3545900924787,3299.4144817165134,3328.018268775783,3724.8954938925654,3759.595741106857,3799.3574455027083,3821.4551380274793,4845.125521758163,5024.531749555218,4884.817804666528,4596.095294078358,4639.239157807357,4640.275588879991,4695.103886308321,4555.110081585392,4565.796377104587,4585.99825211189,4571.588191970867,3402.0065595602773,3380.9176128189315,3431.4467724032615,3445.4293310574008,3560.7210624334975,3559.212422436038,3600.965182696305,3624.248887781062,3833.293750900105,4747.500261757275,3163.46994508594,3186.861634302746,3171.565172840903,3149.662340481092,3722.8571044745095,3755.1350257424683,3730.1025616523916,3770.4127830721127,4610.7969125659965,4759.349926530708,2624.4943492993593,2557.5877801558318,2650.67057801561,2650.464804792816,3789.3703711393614,3817.680612414001,1483.9381700630315,1481.5205330423094,1469.5730276078832,1465.5513019948216,3409.9447360758345,3396.2294858509977,3414.958486811193,3424.2548292748775,3486.6379895004025,3424.486704976966,2911.2205716264307,2885.5738781159002,2854.190415028255,2870.5000890503757,3437.3895056163947,3448.095576342167,3429.853632571233,3433.7117733911828,3742.8027745235654,3785.5225999061718,3764.9753827506906,3992.2805327811316,3982.4273228803695,4005.2841532551015,3745.6621186509833,3750.8651520306503,3784.6570528001907,4000.81761838659,3947.4576726913233,4023.6678993398455,4007.7094028377937
2005-10-01,3889.066132954945,3840.2031485744205,4602.740041174606,4669.970598416761,3093.665703220019,2966.6028287232493,2920.7980592136073,3056.613547249357,2901.9485385841926,2958.0576862583,2512.5651289919806,4702.35239406471,4505.653543486859,5105.799133220016,4865.027888666797,5228.586302600018,4998.410217037222,4802.654364143736,4687.447128635265,4554.09313613256,4532.5395692267075,3455.8917640976333,3521.415429441837,3439.981477843435,3748.9771969925073,4785.829951610084,4311.0501785253155,4841.68684936726,4635.024305583049,4466.184885040928,4453.6086470455775,4895.80473489596,5534.33371101076,5537.8862941452735,5403.017854041814,5521.473983429111,4035.582276840443,3936.1773077516427,4175.673894455767,4512.167853558533,3504.7781653376232,3598.8721565841274,3649.0645862516694,3279.6956096836043,4167.621708023047,3899.7251874824497,3916.7653262967287,3898.779166988175,3681.1808070240313,4767.200449492696,3731.0207937169607,3869.4269964590917,3169.0188482170915,3316.5996876379863,3711.486693915145,4235.8969039411295,3693.8904850191584,3833.743391891084,4524.557784116182,4180.558751307047,2938.023351085426,2181.4483639297464,3312.4011117772884,2439.793336717835,4627.894159479354,4800.209732081736,2463.33363948811,1851.6217079562493,1644.7169902881474,2087.3973862368885,3055.6578910526196,2722.806378224711,4591.6627559040035,4533.82035600141,3950.647502768597,3852.191561116215,4063.5826285288276,3931.5715490817124,3367.473034990333,3382.4340478577005,2997.297015778998,3061.4170817867225,3316.978284662142,3437.197997517544,4306.1080985336375,4114.56589984793,4096.817891943933,4259.193973653964,3518.09655076974,3831.102090738507,2732.6347034974165,3130.2132720840928,3235.173943642876,2829.49826300372,2699.83063875927,2725.083966320049,3099.270250648598
2006-10-01,3947.1314512042704,4342.734339794273,3985.195712958351,3908.941441351227,3219.469597223041,3839.7778804759623,3492.710751143068,3504.3708516193005,3585.551458424741,3148.1251226324416,2570.034414184459,4582.482006167398,3383.3359162859338,4862.106017597337,4169.231723226947,3739.142080314855,3501.727824846892,3783.0198997450966,3410.6115433474397,2584.4653920113965,2890.573558107481,3387.9618230550022,3735.4265312302027,2606.687456106206,3299.9906126246337,4937.044680611637,3983.0935232098254,3988.0904858460385,3956.116222098231,3828.2716576854214,4038.769564107803,4802.153283814,5907.888636662685,5091.706793409036,4676.4521772488215,5570.375054421142,3914.7856595232033,4775.454180387887,4940.720330192223,4971.303319892789,4138.355854188033,3568.323405561191,4153.055826394684,3481.833899591137,4070.965690995733,4132.262440644576,3856.109971688129,4278.630244695613,3311.5767851671058,4762.016029005558,3699.56487443109,4070.3224076910315,2856.66270857781,2857.760436840424,3757.0008611112266,4563.131623390066,3594.2081949390886,4782.6625823592185,3711.358763998006,4019.3985413305063,3182.548112326539,2316.607493619494,3370.524617133954,2077.703476831726,5544.945646199501,5174.537096740625,2311.2701237111273,1824.7056484974437,1870.668702965496,2227.5800332735485,2897.29956801351,2915.730008974208,5112.912538827873,4358.516624726374,3909.310942177051,4380.849703697029,4271.655138591656,4316.265525293392,3131.177004975032,3801.5076828544597,3014.0496504615303,2464.2383403130325,3242.7203766880193,3117.8525223528422,4020.7206874439826,4245.129299297484,3773.929362239744,4422.167603792738,5012.912897343378,4288.655568315095,2936.807407946978,3902.8031180557787,3718.247247953347,3502.334223523557,3343.1170099073806,2711.125367996448,3845.092535673624
2007-10-01,3099.7414400692915,4183.589245186242,4222.376363137452,3202.3420151031237,2920.074774586726,4852.028814308523,3531.8607570275526,3029.758348616895,3792.0414362588303,3592.843900065353,2767.517116661815,4334.425051874382,2502.1815389268218,4184.142601879524,4083.7871653543066,3471.3663690302524,3369.988072341469,4638.61805367617,2947.6047104081345,2255.5546276066043,2704.1835088345847,3617.9599833288435,4021.0549459558165,3488.1682294978255,2856.9172236187037,4760.989154296544,3749.34778872742,4239.58130062914,5027.117656327722,3333.0294132301533,3601.8761790584067,4242.377502938481,5893.2449355303215,5198.698198187541,5412.839824273207,5387.222509936182,1938.0824615296574,3262.032359465415,3872.0077858762334,3471.504902583738,4058.686505561866,3561.50412887846,4016.3775522446845,2530.6351732590715,3893.4717712946326,3242.3284666060345,3736.2059163528575,3265.4769505339946,3649.188493689476,3300.2944367563537,4142.882408891154,4030.9127178400427,3500.6915484850006,4316.113353392822,4321.755463796543,4320.554107104352,4066.8391548043355,4508.918773233428,4481.006725677125,4220.159532727962,2948.417298836518,2583.375359616538,3440.0802348680622,2305.8050619021483,6384.506103628657,5146.995676621716,2495.4174463762292,1959.591519344676,2625.417932768878,3152.82610378155,3025.4831988720284,2760.7159332021943,4778.2141288129915,4041.9378933586663,4408.053663981796,4711.837297189232,3957.954511020755,4597.646435893926,2604.461311316567,4623.5866870899135,2230.4678441777764,2022.1843086607573,3080.0135313421833,2757.7756634550797,3736.2286310635623,3976.236080576745,4854.854114138476,4073.326410330601,4967.214279238516,5520.031555662944,2995.183833633796,3824.7500563690387,4154.320328871893,3515.6471663110547,2687.1071042352423,2603.1249794179903,3204.3781711327524
2008-10-01,2842.905511906762,3972.2705228974737,4542.344422102758,2871.3600745034723,1893.2889885472384,4478.765661218089,2850.975541645238,2065.490590901879,3995.5781565772318,5206.847721479603,3997.2313638471755,4445.975508546036,1775.7238264311688,3150.492851554074,3508.0787246709074,4103.3384261478295,3924.6289917380327,4843.135255315234,2869.7032890517175,2837.1262325776515,2444.727585965723,3556.120222771824,3719.415897207579,3507.5530770684863,3191.816416443163,4378.278050147641,3521.5381745655973,4292.47001723429,4420.53198197731,3556.885525249874,2950.1797874285917,3959.8702822571977,4619.515144617431,4430.487443778729,4742.399627055122,4929.963482607032,2170.7857153526616,3826.93881669593,4846.460901590626,3991.7005856746705,3685.222264207309,3103.1624000635306,3607.9295264862308,1965.70392660711,4296.607506152942,3972.2474154594956,3959.545968869315,3700.6664426936977,3369.995296143109,3628.5452408316787,4842.141778292114,4940.62945151469,3166.2346221060775,4950.429155299841,3474.994443073729,3705.175975248087,3306.716110795126,3682.447784873138,3182.8757222433433,3506.463738888503,3642.231361800367,2805.8734088286283,3606.9047621904347,2362.368253873012,7358.742414054158,6197.330885431464,2823.441630947804,1312.549699607848,2865.6297869098166,3834.4998480881573,2813.6181969147597,2730.619865814859,5034.310428547014,3454.9424431074967,4071.3987382677324,4398.953919203732,4244.829830868235,4073.3823005784407,1871.7142064348104,4072.2455733076276,2341.1116443220303,1895.1901019324669,3006.146640888062,2646.4405403367823,4080.2641994098267,5136.990866060052,5093.657025471868,3066.1429316961194,3700.1355388929387,4604.8092418322785,3766.4598601035627,3893.3243121213277,4225.866946933227,3128.999399689443,2123.731731960826,2323.999549144236,2593.5880815828104
2009-10-01,2187.5834422665225,4434.372373358963,3610.399781027524,2376.372345089098,2780.4407992846795,4561.263233310569,2859.7668170023344,2380.6607444207198,3668.0496810957316,4522.689199656518,3957.820920277178,4671.98017990098,1744.9312512764118,3247.1580044491407,3651.5550483962356,3610.879963506055,3703.680390457217,5023.280195177159,3141.07331966911,3225.3576421718035,2751.1072059456483,3504.46140897452,4197.707592269904,3599.618953277084,2946.339918344149,3205.116240552997,2405.280821073474,4424.179843128193,3314.274044005539,3484.3213309919065,2872.1662682211227,3901.383210620153,5477.084745817912,4619.102423956968,4681.2337190589515,5601.849324781362,3018.689370123139,4744.207453828936,5484.8278915899955,4174.072733466729,3138.3150690952425,2990.605458765473,4052.4364969773496,1740.567202358141,4165.979489182838,3500.2776853452015,4048.567419297914,3750.012461784152,3022.7382573890472,3849.4012021126496,5678.382769941735,4607.338480836283,3076.969065892765,4708.903045293348,3161.7812812871307,2795.0644475245163,2466.285829896362,2670.05014558628,2587.4382938245726,3272.1489068863957,4149.956478300729,2678.665689373425,4261.4119544766745,3225.7138180389725,8433.510440012844,6422.937291663112,2986.815251829708,1666.1948481032184,3382.8861443858636,3854.3660682199916,2495.192096293964,2612.2760921298523,4373.994462716838,3929.6716337130115,3726.6425034764,5225.727176654421,4171.21619793435,4564.190963553571,1762.4995725691413,4365.890444218088,2487.8952672153428,2811.8973810498887,3168.973537803945,3091.994597107131,2904.068789820292,3462.102103260729,3957.952035648858,3378.347784062928,3952.4558849143123,4572.014880234611,3906.8021051564824,3228.7884203478443,3482.031794466837,3239.8533009903676,2170.943702790412,3091.8163425619764,2805.3964276724064
